Feature,Coefficient
first_crash_type_pedestrian,4.385789710814602
first_crash_type_rear to rear,-4.383151267882696
vehicle_category_Motorcycles,3.6196116133614114
first_crash_type_pedalcyclist,2.9584442691616544
"roadway_surface_cond_sand, mud, dirt",-2.6307220159337934
roadway_surface_cond_ice,-2.4702804983103706
airbag_deployed_Not Deployed,-2.372899316535003
traffic_control_category_Sign,-2.1370848268575418
first_crash_type_train,2.046169149490702
maneuver_category_Turn/Change of Direction,-1.9263031817475136
traffic_control_category_Other,-1.8725901342364641
traffic_control_category_Signal,-1.8628842125996323
crash_cause_category_Environmental and Road Conditions,-1.791630967041107
first_crash_type_sideswipe same direction,-1.7530455335319053
sex_x,1.633214536072367
road_category_multi-lane one way,-1.6299009614846565
first_crash_type_rear to front,-1.5944306894381104
first_crash_type_overturned,-1.4798023791934471
first_crash_type_sideswipe opposite direction,-1.2846842488977108
first_crash_type_rear to side,-1.1795024611670897
maneuver_category_Reversing/Stopping,-1.1627037674411345
roadway_surface_cond_other,-0.9872925384451583
maneuver_category_Special Cases,-0.8584623776286981
first_crash_type_rear end,-0.7113561185118934
crash_cause_category_Driver's Condition/Experience,0.6878062266329672
speed_limit_category_Low,-0.6616324031812033
road_category_other,-0.6351959573220523
maneuver_category_Standard Movement,-0.5952987060068125
first_crash_type_turning,-0.5166430308525264
age_group_16-26,-0.4866750088069611
first_crash_type_animal,0.46200492799514714
age_group_65+,-0.3989595268872457
vehicle_category_Passenger Vehicles,0.3691796463774762
crash_cause_category_Unknown/Other,-0.35999714442967323
first_crash_type_parked motor vehicle,-0.35154976790128417
roadway_surface_cond_wet,-0.34250603486321246
roadway_surface_cond_snow or slush,-0.3352354497882817
crash_cause_category_Distraction,-0.32325634950586024
road_category_multi-lane bidirectional,-0.28678835717418827
first_crash_type_head on,0.2780979856967789
time_of_day_Morning,0.26274526648140945
vehicle_category_SUVs,0.2603513726991897
first_crash_type_other object,0.2547643143216762
vehicle_category_Other,0.25435923268579674
"lighting_condition_darkness, lighted road",0.22700142815355626
day_of_week_Wed,-0.21927213777747173
lighting_condition_daylight,0.18960714036206716
day_of_week_Sat,-0.16016567883643731
time_of_day_Night (Early),0.159472199055248
age_group_27-65,-0.15046986934674195
first_crash_type_other noncollision,-0.144998458709046
season_Spring,0.130335641863537
time_of_day_Night (Late),0.11206715699141215
vehicle_category_Trucks,-0.1066109011093097
speed_limit_category_Medium,-0.0907234884833607
first_crash_type_fixed object,0.09048412884495016
season_Winter,-0.050627893093517354
day_of_week_Tues,-0.04607847153627224
road_category_single-lane one way,0.03896871130612214
season_Summer,0.03549954682279719
day_of_week_Mon,0.03253411169398666
lighting_condition_dusk,-0.023644921011847453
day_of_week_Thur,-0.018253839804756776
road_category_unknown,0.01515161482531479
lighting_condition_dawn,-0.01291717480420747
sex_m,0.00941137567147249
day_of_week_Sun,-0.00879602872221239
